 ms_reactor:0 "Mobile Suit Reactor"
 ms_reactor_DESC:0 "The powerhouse of the Mobile Suit."
 minovsky_reactor:0 "Minovsky Reactor"
 minovsky_reactor_DESC:0 "Instead of the conventional magnetic field, this improved version of the Minovsky-Ionesco reactor used an I-field to confine and compress the reactor fuel, triggering a fusion reaction. The Minovsky particles produced as a byproduct of the helium-3 fusion reaction were recycled to keep that reaction going."
 aura_minovsky:0 "Minovsky Particles"
 Zeon_Shield_1:0 "Zaku II Shield"
 Zeon_Shield_1_DESC:0 "The Standard shield of MS-06, made out of Titanium Alloy, used for almost all Zeon Mobile Suits."
 Zeon_Shield_2:0 "Gouf Shield"
 Zeon_Shield_2_DESC:0 "An improved version of the MS-06 shield designed specifically for use on the Gouf."
 Zeon_Shield_3:0 "Gelgoog Shield"
 Zeon_Shield_3_DESC:0 "An improvement over the older designs, this shield was lighter and stronger than any previous Zeon designs."
 Zeon_Shield_4:0 "Gyan Shield"
 Zeon_Shield_4_DESC:0 "The largest shield made by Zeon, incredibly durable."
 Zeon_Shield_5:0 "Beam Shield"
 Zeon_Shield_5_DESC:0 "A far-future design, based around producing an energy field to deflect attacks."
 Axis_Shield_1:0 "Zaku II Shield"
 Axis_Shield_1_DESC:0 "The Standard shield of MS-06, made out of Titanium Alloy, used for almost all Zeon Mobile Suits."
 Axis_Shield_2:0 "Gouf Shield"
 Axis_Shield_2_DESC:0 "An improved version of the MS-06 shield designed specifically for use on the Gouf."
 Axis_Shield_3:0 "Gelgoog Shield"
 Axis_Shield_3_DESC:0 "An improvement over the older designs, this shield was lighter and stronger than any previous Zeon designs."
 Axis_Shield_4:0 "Gyan Shield"
 Axis_Shield_4_DESC:0 "The largest shield made by Zeon, incredibly durable."
 Axis_Shield_5:0 "Beam Shield"
 Axis_Shield_5_DESC:0 "A far-future design, based around producing an energy field to deflect attacks."
 Neo_Shield_1:0 "Zaku II Shield"
